k	ReX_[k]	ImX_[k]	frequency
0	-5.0000000744177E-08	0	0.000000
1	1.49615266309411E-08	1.00000002031641	1.000000
2	3.00000001521004	1.99999996054263	2.000000
3	-1.47600842659301E-08	4.00000004036751	3.000000
4	5.00000000208761	-1.17182135683791E-08	4.000000
5	-3.1861923108778E-08	-3.13818095154517E-08	5.000000
6	7.40861093362355E-09	-9.78613845958876E-09	6.000000
7	3.95133654862434E-08	-8.49703471139662E-09	7.000000
8	7.55502015437059E-08	-2.44300955465349E-08	8.000000
9	6.58429810229677E-09	2.09332547829177E-08	9.000000
10	4.3819660007216E-08	-2.62865584410576E-08	10.000000
11	5.67219426983456E-10	-2.52677074108476E-08	11.000000
12	-1.68523289723055E-08	1.56487355695845E-08	12.000000
13	-9.09373660817891E-09	3.07016178879849E-08	13.000000
14	2.22398681515301E-08	-3.87629781073429E-08	14.000000
15	-3.96917490430582E-08	-2.06049719864154E-08	15.000000
16	4.83486686331247E-08	2.07613834568576E-08	16.000000
17	2.60175776745086E-08	-2.89825632115992E-08	17.000000
18	-1.68873523875845E-08	-6.95854280863273E-08	18.000000
19	2.41332100969771E-08	-1.02539575053129E-08	19.000000
20	-1.38196578181038E-08	-4.25325359643125E-08	20.000000
21	-2.42369308578461E-08	-5.8448801230071E-08	21.000000
22	-1.17068753664462E-07	-1.85007313469043E-08	22.000000
23	2.43448167358551E-08	-9.88438303828332E-08	23.000000
24	1.48834647883955E-08	4.06688745968609E-08	24.000000
25	2.00000065659881E-08	-4.00000058675687E-08	25.000000
26	-3.55578587241112E-09	2.41473777862211E-09	26.000000
27	-8.29508649813349E-08	5.40180948327418E-08	27.000000
28	-4.88612083238138E-09	2.71878414892512E-08	28.000000
29	4.03268402937584E-08	4.20055301475486E-08	29.000000
30	6.61803306023501E-08	4.25325382202857E-08	30.000000
31	-2.91349439063282E-08	2.76404936272456E-09	31.000000
32	1.34290573061691E-08	4.63375030435031E-08	32.000000
33	7.32749818954659E-08	-7.24421559183952E-08	33.000000
34	-1.23316097244697E-08	3.25124246636221E-08	34.000000
35	7.3310757819911E-09	-4.41163685671597E-08	35.000000
36	-3.27400733013405E-08	2.0033447132306E-08	36.000000
37	-3.76819058978128E-08	2.55310792596219E-08	37.000000
38	-7.05415405555243E-08	-1.03534391193705E-08	38.000000
39	-7.22541040509839E-08	-2.54529515153479E-08	39.000000
40	-3.61803441428776E-08	2.62865515665567E-08	40.000000
41	5.73962863903432E-08	-6.23495031426557E-08	41.000000
42	4.25777878021449E-08	-4.89329081876377E-08	42.000000
43	2.07959056197637E-09	-5.14958600650317E-08	43.000000
44	-6.9227060865984E-08	1.18441638630173E-08	44.000000
45	4.42225897678838E-08	6.66045837149909E-09	45.000000
46	3.29487022376895E-08	1.29572968132763E-08	46.000000
47	-2.07437474131211E-08	4.4415085107552E-08	47.000000
48	6.94065940365363E-08	5.92284887246386E-08	48.000000
49	-1.83434337408528E-08	4.48857433332783E-09	49.000000
50	-1.00000000280431E-08	6.39555706238501E-15	50.000000
